,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
43,N?stor Araujo,DF,mx Mexico,30,1.mx Am?rica,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,27a013f7
44,Takuma Asano,FW,jp Japan,27,1.de Bochum,1994,4,0,165,1.8,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,5,3,11,0.55,0.00,0.55,0.55,0.55,0.44,0.17,0.60,0.44,0.60,Matches,13ddc856
45,Marco Asensio,FW,es Spain,26,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.3,6,9,26,0.39,0.00,0.39,0.39,0.39,0.48,0.02,0.50,0.48,0.50,Matches,45af8a54
46,Ali Assadalla,MF,qa Qatar,29,1.qa Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8e74d3ce
47,Lawrence Ati-Zigi,GK,gh Ghana,25,1.ch St. Gallen,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a12402c3
48,Nathaniel Atkinson,DF,au Australia,23,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,51caa1f0
49,Yahya Attiat Allah,DF,ma Morocco,27,1.ma Wydad Casablanca,1995,6,2,318,3.5,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,7,9,12,0.00,0.28,0.28,0.00,0.28,0.07,0.37,0.44,0.07,0.44,Matches,432848a2
50,Andr? Ayew,MFFW,gh Ghana,32,1.qa Al Sadd SC,1989,3,3,198,2.2,1,0,1,1,0,1,1,0,1.1,0.4,0.0,0.4,1,1,5,0.45,0.00,0.45,0.45,0.45,0.52,0.00,0.52,0.16,0.16,Matches,5dbefa9d
51,Jordan Ayew,FW,gh Ghana,30,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,4,3,6,0.00,0.66,0.66,0.00,0.66,0.03,0.32,0.36,0.03,0.36,Matches,da052c14
52,Sardar Azmoun,FW,ir IR Iran,27,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,3,3,3,0.00,0.00,0.00,0.00,0.00,0.67,0.05,0.71,0.67,0.71,Matches,10549b49
53,C?sar Azpilicueta,DF,es Spain,32,1.eng Chelsea,1989,2,2,135,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,4,14,1,0.00,0.67,0.67,0.00,0.67,0.00,0.45,0.45,0.00,0.45,Matches,53cad200
54,Sr?an Babi?,DF,rs Serbia,26,1.es Almer?a,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,075fe5a3
55,Keanu Baccus,MF,au Australia,24,1.sct St Mirren,1998,4,1,114,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,19df2bf7
56,Alexander Bah,DF,dk Denmark,24,1.pt Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,3,7,0.00,0.00,0.00,0.00,0.00,0.11,0.14,0.25,0.11,0.25,Matches,78f21137
57,Hattan Bahebri,MF,sa Saudi Arabia,29,1.sa Al-Shabab,1992,2,0,4,0.0,0,1,1,0,0,0,1,0,0.0,0.0,0.6,0.6,0,0,1,0.00,22.50,22.50,0.00,22.50,0.00,14.37,14.37,0.00,14.37,Matches,b4f50ff5
58,Alejandro Balde,DF,es Spain,18,1.es Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5,12,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,5ccc9672
59,Gareth Bale,FW,wls Wales,32,1.us Los Angeles FC,1989,3,3,225,2.5,1,0,1,0,1,1,1,0,0.8,0.0,0.2,0.2,1,4,12,0.40,0.00,0.40,0.00,0.00,0.32,0.08,0.41,0.01,0.09,Matches,a58bb1e1
60,Fod? Ballo-Tour?,DF,sn Senegal,25,1.it Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f449640d
61,Badr Banoun,DF,ma Morocco,28,1.qa Qatar SC,1993,3,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,06a24e51
62,Borna Bari?i?,DF,hr Croatia,29,1.sct Rangers,1992,1,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,3,2,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches,712dd708
63,Meshaal Barsham,GK,qa Qatar,24,1.qa Al Sadd SC,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8d3e92e0
64,Christian Bassogog,MF,cm Cameroon,26,1.cn Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,395cd1d9
65,Michy Batshuayi,FW,be Belgium,28,1.tr Fenerbah?e,1993,2,2,151,1.7,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.8,0,1,10,0.60,0.00,0.60,0.60,0.60,0.45,0.03,0.48,0.45,0.48,Matches,2973d8ff
66,Jan Bednarek,DF,pl Poland,26,1.eng Aston Villa,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4115ce4e
67,Aziz Behich,DF,au Australia,31,1.sct Dundee United,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,6,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,b6867b96
68,Alireza Beiranvand,GK,ir IR Iran,29,1.ir Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6ca0b04a
69,Jude Bellingham,MF,eng England,18,1.de Dortmund,2003,5,5,414,4.6,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,9,22,30,0.22,0.22,0.43,0.22,0.43,0.12,0.07,0.19,0.12,0.19,Matches,57d88cf9
70,Anis Ben Slimane,MF,tn Tunisia,21,1.dk Br?ndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,11,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.12,0.07,0.12,Matches,9ade9ce1
71,Jewison Bennette,MF,cr Costa Rica,17,2.eng Sunderland,2004,3,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,58f5704e
72,Rodrigo Bentancur,MF,uy Uruguay,24,1.eng Tottenham,1997,3,3,213,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,3,14,2,0.00,0.00,0.00,0.00,0.00,0.26,0.06,0.32,0.26,0.32,Matches,3b8674e6
73,Bartosz Bereszy?ski,DF,pl Poland,29,1.it Sampdoria,1992,4,4,341,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,61b3978f
74,Steven Berghuis,MF,nl Netherlands,30,1.nl Ajax,1991,4,1,200,2.2,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.3,6,15,11,0.00,0.45,0.45,0.00,0.45,0.13,0.04,0.17,0.13,0.17,Matches,713c144a
75,Steven Bergwijn,FW,nl Netherlands,24,1.nl Ajax,1997,4,3,213,2.4,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,2,4,23,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches,a29b1131
76,Krystian Bielik,MF,pl Poland,24,3.eng Derby County,1998,4,2,216,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,8e0ec853
77,Daley Blind,DF,nl Netherlands,32,1.nl Ajax,1990,5,5,423,4.7,1,1,2,1,0,0,0,0,0.4,0.4,0.5,0.8,2,18,20,0.21,0.21,0.43,0.21,0.43,0.08,0.10,0.18,0.08,0.18,Matches,691bef82
78,Celso Borges,MF,cr Costa Rica,34,1.cr Liga Deportiva Alajuelense,1988,3,3,249,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,b8836910
79,Milan Borjan,GK,ca Canada,34,1.rs Red Star,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5e8936be
80,Karim Boudiaf,MF,qa Qatar,31,1.qa Al Duhail SC,1990,3,2,185,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a38f33fd
81,Sofiane Boufal,FW,ma Morocco,28,1.fr Angers,1993,7,7,475,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,21,18,26,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,b0c71810
82,Yassine Bounou,GK,ma Morocco,31,1.es Sevilla,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f6798fc3
83,Martin Braithwaite,FWMF,dk Denmark,31,1.es Espanyol,1991,2,1,103,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,2,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18,Matches,fd771f95
84,Mohammed Al-Breik,DF,sa Saudi Arabia,29,1.sa Al-Hilal,1992,2,1,65,0.7,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.1,1,6,3,0.00,0.00,0.00,0.00,0.00,0.51,0.07,0.58,0.03,0.10,Matches,bd448676
85,Gleison Bremer,DF,br Brazil,25,1.it Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,5fd5ed86
86,Dylan Bronn,DF,tn Tunisia,26,1.it Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,edd81e2a
87,Marcelo Brozovi?,MF,hr Croatia,29,1.it Inter,1992,6,6,552,6.1,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,11,42,18,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12,Matches,33b8d077
88,Tajon Buchanan,MFDF,ca Canada,23,1.be Club Brugge,1999,3,3,260,2.9,0,1,1,0,0,0,1,0,0.9,0.9,0.5,1.4,11,10,27,0.00,0.35,0.35,0.00,0.35,0.33,0.17,0.50,0.33,0.50,Matches,3aca6420
89,Ante Budimir,FW,hr Croatia,30,1.es Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,2,0.00,0.00,0.00,0.00,0.00,0.37,0.07,0.44,0.37,0.44,Matches,8f3565b3
90,Osman Bukari,MF,gh Ghana,23,1.rs Red Star,1998,2,0,59,0.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,2,1,7,1.53,0.00,1.53,1.53,1.53,0.76,0.09,0.85,0.76,0.85,Matches,eab85789
91,Ali Al-Bulaihi,DF,sa Saudi Arabia,32,1.sa Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8d7b2936
92,Firas Al-Buraikan,MFFW,sa Saudi Arabia,22,1.sa Al-Fateh,2000,3,3,268,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,11,0.00,0.34,0.34,0.00,0.34,0.04,0.02,0.06,0.04,0.06,Matches,ac717a23
93,Sergio Busquets,MF,es Spain,33,1.es Barcelona,1988,4,4,363,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,26,12,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches,5ab0ea87
94,Mart?n C?ceres,DF,uy Uruguay,35,1.us LA Galaxy,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e94d79e3
