,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
195,Phil Foden,FWMF,eng England,22,1.eng Manchester City,2000,4,3,258,2.9,1,2,3,1,0,0,0,0,1.1,1.1,0.6,1.6,5,7,36,0.35,0.70,1.05,0.35,1.05,0.38,0.20,0.57,0.38,0.57,Matches,ed1e53f3
196,Youssouf Fofana,MF,fr France,23,1.fr Monaco,1999,6,2,227,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,6,11,4,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14,Matches,822d51d7
197,Juan Foyth,DF,ar Argentina,24,1.es Villarreal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6c7762c3
198,Alan Franco,MF,ec Ecuador,23,1.ar Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c76b161b
199,Przemys?aw Frankowski,MF,pl Poland,27,1.fr Lens,1995,4,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,3,5,8,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,Matches,00a8d210
200,Fred,MF,br Brazil,29,1.eng Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,0,11,5,0.00,0.00,0.00,0.00,0.00,0.23,0.16,0.39,0.23,0.39,Matches,b853e0ad
201,Fabian Frei,MF,ch Switzerland,33,1.ch Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9fb640a8
202,Remo Freuler,MF,ch Switzerland,30,1.eng Nott'ham Forest,1992,4,4,323,3.6,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,1,13,8,0.28,0.00,0.28,0.28,0.28,0.11,0.00,0.11,0.11,0.11,Matches,98d2c2c4
203,Keysher Fuller,DFMF,cr Costa Rica,27,1.cr Club Sport Herediano,1994,3,3,253,2.8,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.5,1,2,5,0.36,0.00,0.36,0.36,0.36,0.14,0.05,0.19,0.14,0.19,Matches,78019e88
204,Niclas F?llkrug,FW,de Germany,29,1.de Werder Bremen,1993,3,0,69,0.8,2,1,3,2,0,0,0,0,2.2,2.2,0.6,2.8,1,1,10,2.61,1.30,3.91,2.61,3.91,2.86,0.76,3.62,2.86,3.62,Matches,4f16405e
205,Rogelio Funes Mori,FW,mx Mexico,31,1.mx Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,1.23,0.00,1.23,1.23,1.23,Matches,bf9a2406
206,Cody Gakpo,FWMF,nl Netherlands,23,1.nl PSV Eindhoven,1999,5,5,450,5.0,3,0,3,3,0,0,0,0,0.3,0.3,0.6,0.9,14,11,27,0.60,0.00,0.60,0.60,0.60,0.06,0.12,0.18,0.06,0.18,Matches,1971591f
207,Hern?n Gal?ndez,GK,ec Ecuador,35,1.ec SD Aucas,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,89c136f6
208,Jes?s Gallardo,DF,mx Mexico,27,1.mx Monterrey,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,7,14,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,d0846b6c
209,Idrissa Gana Gueye,MF,sn Senegal,32,1.eng Everton,1989,3,3,270,3.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6,10,8,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Matches,72c812f3
210,Gavi,MF,es Spain,17,1.es Barcelona,2004,4,4,284,3.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,6,10,23,0.32,0.00,0.32,0.32,0.32,0.04,0.03,0.07,0.04,0.07,Matches,19cae58d
211,Sultan Al-Ghanam,DFMF,sa Saudi Arabia,28,1.sa Al-Nassr,1994,3,1,126,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,4,5,11,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches,0ea89f8d
212,Nader Ghandri,DF,tn Tunisia,27,1.tn Club Africain,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f1c7219
213,Saman Ghoddos,MF,ir IR Iran,28,1.eng Brentford,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,7,0.00,0.00,0.00,0.00,0.00,0.36,0.05,0.41,0.36,0.41,Matches,f7b1d4e0
214,Ali Gholizadeh,MFFW,ir IR Iran,26,1.be Charleroi,1996,3,2,199,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,5,11,0.00,0.45,0.45,0.00,0.45,0.01,0.07,0.09,0.01,0.09,Matches,9fc0ac41
215,Matthias Ginter,DF,de Germany,28,1.de Freiburg,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f521b80a
216,Olivier Giroud,FW,fr France,35,1.it Milan,1986,6,6,419,4.7,4,0,4,4,0,0,1,0,3.4,3.4,0.1,3.5,1,9,10,0.86,0.00,0.86,0.86,0.86,0.72,0.03,0.76,0.72,0.76,Matches,16ceb862
217,Kamil Glik,DF,pl Poland,34,2.it Benevento,1988,4,4,360,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,c6056d58
218,Serge Gnabry,FWMF,de Germany,26,1.de Bayern Munich,1995,3,3,263,2.9,1,1,2,1,0,0,0,0,1.1,1.1,1.5,2.6,4,7,25,0.34,0.34,0.68,0.34,0.68,0.37,0.51,0.88,0.37,0.88,Matches,88e357ef
219,Diego God?n,DF,uy Uruguay,36,1.ar V?lez Sarsf,1986,2,2,151,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,fc4f85b1
220,Maxi G?mez,FW,uy Uruguay,25,1.tr Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches,4c2e9442
221,Papu G?mez,MFFW,ar Argentina,34,1.es Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,6e4df551
222,Sh?ichi Gonda,GK,jp Japan,33,1.jp S-Pulse,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d8e5492f
223,Craig Goodwin,MF,au Australia,30,1.au Adelaide,1991,4,3,234,2.6,1,1,2,1,0,0,0,0,0.3,0.3,0.6,0.9,3,10,15,0.38,0.38,0.77,0.38,0.77,0.11,0.25,0.36,0.11,0.36,Matches,b2741e3d
224,Leon Goretzka,MF,de Germany,27,1.de Bayern Munich,1995,3,2,159,1.8,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,4,2,2,0.00,0.00,0.00,0.00,0.00,0.26,0.01,0.27,0.26,0.27,Matches,cc86b9a3
225,Mario G?tze,MF,de Germany,30,1.de Eint Frankfurt,1992,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,2,6,0.00,0.00,0.00,0.00,0.00,0.21,0.29,0.50,0.21,0.50,Matches,9efa1d25
226,Jack Grealish,FW,eng England,26,1.eng Manchester City,1995,5,0,86,1.0,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.8,4,7,12,1.05,0.00,1.05,1.05,1.05,0.69,0.12,0.81,0.69,0.81,Matches,b0b4fd3e
227,Antoine Griezmann,MF,fr France,31,1.es Atl?tico Madrid,1991,7,6,537,6.0,0,3,3,0,0,0,1,0,0.7,0.7,3.1,3.8,10,36,31,0.00,0.50,0.50,0.00,0.50,0.11,0.52,0.63,0.11,0.63,Matches,df69b544
228,Kamil Grosicki,MF,pl Poland,34,1.pl Pogo? Szczecin,1988,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,1.69,1.69,0.00,1.69,Matches,81d8091f
229,Carlos Gruezo,MF,ec Ecuador,27,1.de Augsburg,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f2dd9a21
230,Marko Gruji?,MF,rs Serbia,26,1.pt Porto,1996,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,1,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches,8b8e759d
231,Andr?s Guardado,MF,mx Mexico,35,1.es Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ef322658
232,Nemanja Gudelj,MFDF,rs Serbia,30,1.es Sevilla,1991,2,1,92,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0076ab7f
233,Matt?o Guendouzi,FWMF,fr France,23,1.fr Marseille,1999,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5ea8ef20
234,Rapha?l Guerreiro,DF,pt Portugal,28,1.de Dortmund,1993,4,3,279,3.1,1,2,3,1,0,0,0,0,0.4,0.4,0.5,0.9,10,13,20,0.32,0.65,0.97,0.32,0.97,0.14,0.17,0.30,0.14,0.30,Matches,048a1cbc
235,Cho Guesung,FW,kr Korea Republic,24,1.kr Jeonbuk,1998,4,3,275,3.1,2,0,2,2,0,0,1,0,1.1,1.1,0.0,1.1,0,4,13,0.65,0.00,0.65,0.65,0.65,0.35,0.01,0.36,0.35,0.36,Matches,ccfa8e5e
236,Pape Gueye,MF,sn Senegal,23,1.fr Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,7,4,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18,Matches,7155e3e1
237,Bruno Guimar?es,MF,br Brazil,24,1.eng Newcastle Utd,1997,2,0,69,0.8,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,2,8,3,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.92,0.92,0.92,Matches,82518f62
238,?lkay G?ndo?an,MF,de Germany,31,1.eng Manchester City,1990,3,3,189,2.1,1,0,1,0,1,1,0,0,1.1,0.4,0.1,0.5,3,24,6,0.48,0.00,0.48,0.00,0.00,0.54,0.05,0.60,0.17,0.22,Matches,819b3158
239,Erick Guti?rrez,MF,mx Mexico,26,1.nl PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c7842dab
240,Jo?ko Gvardiol,DF,hr Croatia,20,1.de RB Leipzig,2002,7,7,690,7.7,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.2,11,32,4,0.13,0.00,0.13,0.13,0.13,0.02,0.01,0.03,0.02,0.03,Matches,5ad50391
241,Asiri Haitham,FW,sa Saudi Arabia,21,2.sa Al-Ahli,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9c08d5cd
242,Ehsan Hajsafi,MFDF,ir IR Iran,32,1.gr AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,7,8,5,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.15,0.06,0.15,Matches,b060e3b8
243,Achraf Hakimi,DF,ma Morocco,23,1.fr Paris S-G,1998,7,7,631,7.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,10,20,24,0.00,0.14,0.14,0.00,0.14,0.02,0.07,0.09,0.02,0.09,Matches,e42d61c7
244,Abderrazak Hamdallah,FW,ma Morocco,31,1.sa Al-Ittihad,1990,4,0,68,0.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,0,5,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches,fe73f8c6
245,Abdelkarim Hassan,DF,qa Qatar,28,1.qa Al Sadd SC,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,14,11,5,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches,7380bccf
246,Ali Al Hassan,MF,sa Saudi Arabia,25,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches,68b689fa
247,Abdulaziz Hatem,MF,qa Qatar,31,1.qa Al Rayyan SC,1990,3,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,c5065ef8
248,Kai Havertz,FW,de Germany,23,1.eng Chelsea,1999,2,1,102,1.1,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.6,1,4,8,1.76,0.00,1.76,1.76,1.76,1.19,0.17,1.36,1.19,1.36,Matches,fed7cb61
249,Hassan Al-Haydos,MF,qa Qatar,31,1.qa Al Sadd SC,1990,3,3,206,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,5,12,8,0.00,0.00,0.00,0.00,0.00,0.01,0.27,0.27,0.01,0.27,Matches,41bd6c64
250,Eden Hazard,MF,be Belgium,31,1.es Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,a39bb753
251,Thorgan Hazard,FW,be Belgium,29,1.de Dortmund,1993,2,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,1.3,1.3,1,4,13,0.00,0.00,0.00,0.00,0.00,0.00,1.07,1.07,0.00,1.07,Matches,50871bcc
252,Hwang Hee-chan,MFFW,kr Korea Republic,26,1.eng Wolves,1996,2,1,115,1.3,1,0,1,1,0,0,1,0,0.9,0.9,0.0,1.0,7,3,16,0.78,0.00,0.78,0.78,0.78,0.72,0.03,0.75,0.72,0.75,Matches,169fd162
253,Jordan Henderson,MF,eng England,31,1.eng Liverpool,1990,4,3,271,3.0,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,2,16,13,0.33,0.00,0.33,0.33,0.33,0.05,0.11,0.16,0.05,0.16,Matches,935e6b8f
254,Wayne Hennessey,GK,wls Wales,35,1.eng Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,76eca7e2
255,Lucas Hern?ndez,DF,fr France,26,1.de Bayern Munich,1996,1,1,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c3ee18ef
256,Theo Hern?ndez,DF,fr France,24,1.it Milan,1997,6,5,508,5.6,1,2,3,1,0,0,1,0,0.4,0.4,1.2,1.6,18,23,33,0.18,0.35,0.53,0.18,0.53,0.07,0.22,0.29,0.07,0.29,Matches,d4c9725f
257,H?ctor Herrera,MF,mx Mexico,32,1.us Houston Dynamo,1990,2,2,160,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,a8542814
258,Son Heung-min,FWMF,kr Korea Republic,29,1.eng Tottenham,1992,4,4,360,4.0,0,1,1,0,0,0,0,0,0.4,0.4,1.0,1.4,12,8,33,0.00,0.25,0.25,0.00,0.25,0.11,0.24,0.35,0.11,0.35,Matches,92e7e919
259,Piero Hincapi?,DF,ec Ecuador,20,1.de Leverkusen,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0c7a48f8
260,Jonas Hofmann,FW,de Germany,29,1.de M'Gladbach,1992,2,0,30,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,1,1,3,0.00,0.00,0.00,0.00,0.00,0.82,0.16,0.98,0.82,0.98,Matches,2903a856
261,Junior Hoilett,FWMF,ca Canada,32,2.eng Reading,1990,3,2,161,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,5,6,8,0.00,0.00,0.00,0.00,0.00,0.08,0.21,0.28,0.08,0.28,Matches,33af5b9e
262,Martin Hongla,MF,cm Cameroon,24,1.it Hellas Verona,1998,2,2,121,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,4,4,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches,b85bf253
263,Ricardo Horta,FW,pt Portugal,27,1.pt Braga,1994,3,1,119,1.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.8,2,3,9,0.76,0.00,0.76,0.76,0.76,0.58,0.05,0.63,0.58,0.63,Matches,6603fed7
264,Hossein Hosseini,GK,ir IR Iran,29,1.ir Esteghlal,1992,2,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fb24817c
265,Majid Hosseini,DF,ir IR Iran,25,1.tr Kayserispor,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d2161bae
266,Ajdin Hrustic,MFFW,au Australia,25,1.it Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,1f2d714c
267,Atiba Hutchinson,MF,ca Canada,39,1.tr Be?ikta?,1983,3,2,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,15,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,f1b55719
268,Pierre H?jbjerg,MF,dk Denmark,26,1.eng Tottenham,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,29,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,8b04d6c1
269,Romario Ibarra,MF,ec Ecuador,27,1.mx Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,5,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches,b494ccf5
270,Ivan Ili?,MF,rs Serbia,21,1.it Hellas Verona,2001,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,bb376bed
271,Hwang In-beom,MF,kr Korea Republic,25,1.gr Olympiacos,1996,4,4,334,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,5,37,6,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,92fa5d28
272,Jackson Irvine,MFFW,au Australia,29,2.de St. Pauli,1993,4,4,354,3.9,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.6,2,17,5,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Matches,4637747c
273,Ko Itakura,DF,jp Japan,25,1.de M'Gladbach,1997,3,3,270,3.0,0,1,1,0,0,0,2,0,0.2,0.2,0.1,0.2,3,5,1,0.00,0.33,0.33,0.00,0.33,0.05,0.03,0.08,0.05,0.08,Matches,97d545ae
274,Hiroki Ito,DF,jp Japan,23,1.de Stuttgart,1999,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,204dded0
275,Junya Ito,MFFW,jp Japan,29,1.fr Reims,1993,4,3,324,3.6,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,9,4,19,0.00,0.28,0.28,0.00,0.28,0.05,0.07,0.12,0.05,0.12,Matches,dbd3a428
276,Yahya Jabrane,MF,ma Morocco,30,1.ma Wydad Casablanca,1991,2,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,143efbd5
277,Nicolas Jackson,FW,sn Senegal,20,1.es Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9c36ed83
278,Lee Jae-sung,MFFW,kr Korea Republic,29,1.de Mainz 05,1992,3,3,211,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,10,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,34b0387f
279,Alireza Jahanbakhsh,MF,ir IR Iran,28,1.nl Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,3,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches,08452314
280,Kristijan Jaki?,FW,hr Croatia,25,1.de Eint Frankfurt,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a8ee54ad
281,Ismail Jakobs,DF,sn Senegal,22,1.fr Monaco,1999,4,3,278,3.1,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,6,9,4,0.00,0.32,0.32,0.00,0.32,0.00,0.10,0.11,0.00,0.11,Matches,a0415710
282,Abolfazl Jalali,DF,ir IR Iran,23,1.ir Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d932eeee
283,Daniel James,FWMF,wls Wales,24,1.eng Fulham,1997,3,2,154,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,c931d9f9
284,Vincent Janssen,FW,nl Netherlands,27,1.be Antwerp,1994,2,1,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,3,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,Matches,31dce0c8
285,Ardon Jasari,FW,ch Switzerland,19,1.ch Luzern,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,889588db
286,Issam Jebali,FW,tn Tunisia,30,1.dk Odense,1991,3,2,182,2.0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,2,0,11,0.00,0.00,0.00,0.00,0.00,0.26,0.08,0.34,0.26,0.34,Matches,4b751020
287,Artur J?drzejczyk,DF,pl Poland,34,1.pl Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d1943c8b
288,Mathias Jensen,MF,dk Denmark,26,1.eng Brentford,1996,2,1,84,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,1,5,8,0.00,0.00,0.00,0.00,0.00,0.11,0.38,0.50,0.11,0.50,Matches,0f134faf
289,Gabriel Jesus,FW,br Brazil,25,1.eng Arsenal,1997,3,1,93,1.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,1,7,6,0.00,0.00,0.00,0.00,0.00,0.35,0.23,0.58,0.35,0.58,Matches,b66315ae
290,Ra?l Jim?nez,FW,mx Mexico,31,1.eng Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b561db50
291,Kim Jin-su,DF,kr Korea Republic,30,1.kr Jeonbuk,1992,4,4,315,3.5,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,2,8,15,0.00,0.29,0.29,0.00,0.29,0.09,0.17,0.27,0.09,0.27,Matches,8e6ff136
292,Brennan Johnson,FWMF,wls Wales,21,1.eng Nott'ham Forest,2001,3,0,91,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,0,5,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches,0cd31129
293,Alistair Johnston,DF,ca Canada,23,1.us CF Montr?al,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,2,14,6,0.00,0.00,0.00,0.00,0.00,0.27,0.06,0.33,0.27,0.33,Matches,4fb17e20
294,Frenkie de Jong,MF,nl Netherlands,25,1.es Barcelona,1997,5,5,475,5.3,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,7,26,8,0.19,0.19,0.38,0.19,0.38,0.18,0.04,0.22,0.18,0.22,Matches,1bacc518
